Run,Avg Validation Loss,Avg Validation Accuracy,Test Loss,Test Accuracy
1,0.6414950567483901,"tensor(64.4167, device='cuda:0')",0.6023636988446682,"tensor(66.7722, device='cuda:0')"
2,0.6292714567979177,"tensor(66.5833, device='cuda:0')",0.606445502631272,"tensor(66.1392, device='cuda:0')"
3,0.5971166408061981,"tensor(69.0833, device='cuda:0')",0.5956174927421763,"tensor(68.0380, device='cuda:0')"
4,0.6365137745936711,"tensor(66.2500, device='cuda:0')",0.5991087027742893,"tensor(66.7722, device='cuda:0')"
5,0.6374667008717855,"tensor(63.5000, device='cuda:0')",0.5992100600954853,"tensor(67.4051, device='cuda:0')"
6,0.6223737941185634,"tensor(63.0833, device='cuda:0')",0.6155873461614682,"tensor(67.7215, device='cuda:0')"
7,0.5985061732927959,"tensor(67.5000, device='cuda:0')",0.5938321917871886,"tensor(67.0886, device='cuda:0')"
8,0.6451720666885377,"tensor(60., device='cuda:0')",0.5987945749789854,"tensor(67.0886, device='cuda:0')"
9,0.6285362541675568,"tensor(64.2500, device='cuda:0')",0.6123271576965912,"tensor(64.8734, device='cuda:0')"
10,0.6181707662343978,"tensor(67.4167, device='cuda:0')",0.6235489943359471,"tensor(66.1392, device='cuda:0')"
11,0.6485273132721583,"tensor(63., device='cuda:0')",0.5915817429747763,"tensor(67.4051, device='cuda:0')"
12,0.5952263081073761,"tensor(69.8333, device='cuda:0')",0.6087655259084098,"tensor(68.3544, device='cuda:0')"
13,0.6445344616969426,"tensor(60.9167, device='cuda:0')",0.6174884717675704,"tensor(66.4557, device='cuda:0')"
14,0.6287047884861628,"tensor(67.5833, device='cuda:0')",0.6039776221106324,"tensor(67.7215, device='cuda:0')"
15,0.6070855995019276,"tensor(67.5833, device='cuda:0')",0.5944622181638887,"tensor(68.0380, device='cuda:0')"
16,0.6358063393831253,"tensor(66.5833, device='cuda:0')",0.6015571974500825,"tensor(67.4051, device='cuda:0')"
17,0.6130827790498734,"tensor(68., device='cuda:0')",0.6010678244542472,"tensor(66.1392, device='cuda:0')"
18,0.6460532049338024,"tensor(63.3333, device='cuda:0')",0.5775836917418468,"tensor(67.7215, device='cuda:0')"
19,0.6287176056702932,"tensor(67., device='cuda:0')",0.6179585260680959,"tensor(66.4557, device='cuda:0')"
20,0.6345500429471334,"tensor(66.9167, device='cuda:0')",0.6063942946965182,"tensor(67.0886, device='cuda:0')"
21,0.6333207794030506,"tensor(66.0833, device='cuda:0')",0.600948366937758,"tensor(64.2405, device='cuda:0')"
22,0.6366668031613032,"tensor(64.0833, device='cuda:0')",0.5989886688280709,"tensor(68.6709, device='cuda:0')"
23,0.6238464041550954,"tensor(67.2500, device='cuda:0')",0.597673250150077,"tensor(67.7215, device='cuda:0')"
24,0.62413723051548,"tensor(65.6667, device='cuda:0')",0.597789015951036,"tensor(67.4051, device='cuda:0')"
25,0.6367233544588089,"tensor(67., device='cuda:0')",0.5956797003746033,"tensor(67.0886, device='cuda:0')"
26,0.628802675207456,"tensor(65.3333, device='cuda:0')",0.6014270729656461,"tensor(64.8734, device='cuda:0')"
27,0.6173902595043183,"tensor(67.5000, device='cuda:0')",0.6001638423038435,"tensor(65.1899, device='cuda:0')"
28,0.6250845132271449,"tensor(64.4167, device='cuda:0')",0.6056880090810075,"tensor(66.7722, device='cuda:0')"
29,0.6196373697121937,"tensor(65.4167, device='cuda:0')",0.5991436914552616,"tensor(68.9873, device='cuda:0')"
30,0.6458311865727107,"tensor(64.6667, device='cuda:0')",0.6005358816702154,"tensor(68.9873, device='cuda:0')"
31,0.6208988356590271,"tensor(67.8333, device='cuda:0')",0.5908519082431551,"tensor(68.6709, device='cuda:0')"
32,0.6457527873913447,"tensor(63.6667, device='cuda:0')",0.5873024448563781,"tensor(66.1392, device='cuda:0')"
33,0.6361292523145676,"tensor(59.6667, device='cuda:0')",0.6034087138839915,"tensor(68.6709, device='cuda:0')"
34,0.6321113967895508,"tensor(67.0833, device='cuda:0')",0.6028030620345587,"tensor(67.0886, device='cuda:0')"
35,0.6148372048139572,"tensor(68.2500, device='cuda:0')",0.5987992158418969,"tensor(68.9873, device='cuda:0')"
36,0.6331795406341553,"tensor(66., device='cuda:0')",0.6022394654117053,"tensor(67.0886, device='cuda:0')"
37,0.6233297950029373,"tensor(67.0833, device='cuda:0')",0.6002585442760323,"tensor(66.7722, device='cuda:0')"
38,0.6363209267457326,"tensor(65.1667, device='cuda:0')",0.5824742679354511,"tensor(66.4557, device='cuda:0')"
39,0.6064245734612147,"tensor(68.4167, device='cuda:0')",0.5916665173784087,"tensor(67.7215, device='cuda:0')"
40,0.6191570268074671,"tensor(65., device='cuda:0')",0.6142809157130085,"tensor(67.0886, device='cuda:0')"
41,0.6290423782666524,"tensor(67.1667, device='cuda:0')",0.5768922748444956,"tensor(68.0380, device='cuda:0')"
42,0.6172926876942317,"tensor(68.9167, device='cuda:0')",0.609202261966995,"tensor(66.4557, device='cuda:0')"
43,0.6219369733333587,"tensor(67.1667, device='cuda:0')",0.611346007902411,"tensor(67.7215, device='cuda:0')"
44,0.6276088873545329,"tensor(63.2500, device='cuda:0')",0.5973124368281304,"tensor(68.3544, device='cuda:0')"
45,0.6281620013713837,"tensor(67., device='cuda:0')",0.6225660254683676,"tensor(66.1392, device='cuda:0')"
46,0.637947177886963,"tensor(65.6667, device='cuda:0')",0.6059099994128263,"tensor(67.4051, device='cuda:0')"
47,0.6457637615998586,"tensor(65.9167, device='cuda:0')",0.5904785756823383,"tensor(66.1392, device='cuda:0')"
48,0.6030063619216284,"tensor(67.9167, device='cuda:0')",0.5960472067700157,"tensor(68.0380, device='cuda:0')"
49,0.6224793632825215,"tensor(67.7500, device='cuda:0')",0.6006648532951935,"tensor(68.0380, device='cuda:0')"
50,0.6041473799943924,"tensor(67.9167, device='cuda:0')",0.6024603504168836,"tensor(68.0380, device='cuda:0')"
