Run,Avg Validation Loss,Avg Validation Accuracy,Test Loss,Test Accuracy
1,0.5856195468651622,"tensor(67.9276, device='cuda:0')",0.5516455825169881,"tensor(70.3333, device='cuda:0')"
2,0.5822856967386446,"tensor(68.9967, device='cuda:0')",0.46733266989390054,"tensor(78., device='cuda:0')"
3,0.5730096148817163,"tensor(71.0526, device='cuda:0')",0.5359320839246114,"tensor(79., device='cuda:0')"
4,0.5813940143898915,"tensor(69.0789, device='cuda:0')",0.4912073787053426,"tensor(76.6667, device='cuda:0')"
5,0.5792748810429322,"tensor(70.3125, device='cuda:0')",0.5475767350196838,"tensor(73.3333, device='cuda:0')"
6,0.5784003162070325,"tensor(68.9967, device='cuda:0')",0.5360110155741373,"tensor(73.3333, device='cuda:0')"
7,0.5735562200609006,"tensor(70.4770, device='cuda:0')",0.5137506421407064,"tensor(71.6667, device='cuda:0')"
8,0.573037788271904,"tensor(71.3816, device='cuda:0')",0.558485635916392,"tensor(71.6667, device='cuda:0')"
9,0.5794418571810973,"tensor(70.4770, device='cuda:0')",0.5428453119595845,"tensor(72.6667, device='cuda:0')"
10,0.612265280987087,"tensor(67.1875, device='cuda:0')",0.5380798204739888,"tensor(71., device='cuda:0')"
11,0.5827699248727999,"tensor(68.8322, device='cuda:0')",0.5317440072695414,"tensor(72.3333, device='cuda:0')"
12,0.5783084042762455,"tensor(70.7237, device='cuda:0')",0.5351380602518717,"tensor(74.3333, device='cuda:0')"
13,0.6030975956665843,"tensor(67.9276, device='cuda:0')",0.5274238673845927,"tensor(71.6667, device='cuda:0')"
14,0.5846636020823528,"tensor(69.2434, device='cuda:0')",0.5154715538024902,"tensor(73.3333, device='cuda:0')"
15,0.5937523543834686,"tensor(69.8191, device='cuda:0')",0.5222368717193604,"tensor(72.6667, device='cuda:0')"
16,0.5853747545104278,"tensor(68.6678, device='cuda:0')",0.5213402692476908,"tensor(73.6667, device='cuda:0')"
17,0.6026776064383357,"tensor(67.4342, device='cuda:0')",0.5267845598856608,"tensor(75., device='cuda:0')"
18,0.5876794943684026,"tensor(68.7500, device='cuda:0')",0.4990246057510376,"tensor(74.3333, device='cuda:0')"
19,0.5838137653313185,"tensor(69.6546, device='cuda:0')",0.514869187672933,"tensor(74.6667, device='cuda:0')"
20,0.5852470280308473,"tensor(68.0921, device='cuda:0')",0.5562765645980835,"tensor(75., device='cuda:0')"
21,0.5884904626168703,"tensor(69.5724, device='cuda:0')",0.5475755461057027,"tensor(70.6667, device='cuda:0')"
22,0.6030357723173342,"tensor(67.7632, device='cuda:0')",0.5331773320833842,"tensor(74., device='cuda:0')"
23,0.5819957240631706,"tensor(69.2434, device='cuda:0')",0.5677810351053874,"tensor(69.3333, device='cuda:0')"
24,0.5791724814396155,"tensor(69.0789, device='cuda:0')",0.5010264492034913,"tensor(74.6667, device='cuda:0')"
25,0.5922301905719858,"tensor(67.5987, device='cuda:0')",0.5178827961285909,"tensor(72.3333, device='cuda:0')"
26,0.5542568403639292,"tensor(71.2171, device='cuda:0')",0.5162897841135661,"tensor(76., device='cuda:0')"
27,0.5829179279114071,"tensor(68.3388, device='cuda:0')",0.5401835378011067,"tensor(74.3333, device='cuda:0')"
28,0.5898602722506774,"tensor(68.0921, device='cuda:0')",0.4913681650161743,"tensor(75.6667, device='cuda:0')"
29,0.5795169935414666,"tensor(68.1743, device='cuda:0')",0.5215789254506429,"tensor(74.3333, device='cuda:0')"
30,0.5758120186234775,"tensor(68.0921, device='cuda:0')",0.5128635017077128,"tensor(73.6667, device='cuda:0')"
31,0.5872519314289093,"tensor(69.9013, device='cuda:0')",0.5523455166816711,"tensor(72.6667, device='cuda:0')"
32,0.584085348405336,"tensor(68.0921, device='cuda:0')",0.5276133036613464,"tensor(71., device='cuda:0')"
33,0.5991904061091573,"tensor(69.3257, device='cuda:0')",0.5671934771537781,"tensor(69.6667, device='cuda:0')"
34,0.5845707560840406,"tensor(69.7368, device='cuda:0')",0.4822159194946289,"tensor(76.6667, device='cuda:0')"
35,0.5912454010624635,"tensor(67.1053, device='cuda:0')",0.5205091333389282,"tensor(72.3333, device='cuda:0')"
36,0.5918917703001123,"tensor(68.7500, device='cuda:0')",0.5536604428291321,"tensor(70.3333, device='cuda:0')"
37,0.5865931777577651,"tensor(69.3257, device='cuda:0')",0.5162904914220174,"tensor(72., device='cuda:0')"
38,0.5782660677244789,"tensor(68.9967, device='cuda:0')",0.5204306149482727,"tensor(74.6667, device='cuda:0')"
39,0.5856322316746962,"tensor(69.6546, device='cuda:0')",0.5120365858078003,"tensor(74.6667, device='cuda:0')"
40,0.5858723725143231,"tensor(69.3257, device='cuda:0')",0.5210527427991232,"tensor(73., device='cuda:0')"
41,0.5857772411484468,"tensor(69.0789, device='cuda:0')",0.49105876763661704,"tensor(74.6667, device='cuda:0')"
42,0.602423494583682,"tensor(67.1875, device='cuda:0')",0.5235323095321656,"tensor(74., device='cuda:0')"
43,0.5827273632350721,"tensor(68.8322, device='cuda:0')",0.6117993489901224,"tensor(68., device='cuda:0')"
44,0.5778073488097442,"tensor(69.5724, device='cuda:0')",0.5317666308085124,"tensor(73.6667, device='cuda:0')"
45,0.5753413603494042,"tensor(71.1349, device='cuda:0')",0.49346746762593585,"tensor(75., device='cuda:0')"
46,0.5840586431716617,"tensor(70.1480, device='cuda:0')",0.5260137470563253,"tensor(73.3333, device='cuda:0')"
47,0.5713405664029874,"tensor(70.3125, device='cuda:0')",0.5830873441696167,"tensor(70.6667, device='cuda:0')"
48,0.5869134829232567,"tensor(68.0921, device='cuda:0')",0.5515464369455974,"tensor(70.6667, device='cuda:0')"
49,0.58481202549056,"tensor(69.0789, device='cuda:0')",0.5161897850036621,"tensor(74.3333, device='cuda:0')"
50,0.600719618169885,"tensor(68.4211, device='cuda:0')",0.5447121524810791,"tensor(74.6667, device='cuda:0')"
